,ID,Метод сбора данных,Метка_Северен,Метка_Альянс,Телефон,Наименование компании,ИНН,Дата завершения интервью,MRF_МРФ,RF_Филиал РТК,Технология,TYPE_Макросегмент,SEGMENT_Сегмент,iNPS Лояльность провайдеру ШПД iU4,iNPS_OE,iSAT Удовлетворённость провайдером ШПД iU4,iTPSat1 Набор дополнительных услуг и опций   провайдера ШПД iU4,iTPSat2 Процесс подключения новых услуг провайдера ШПД iU5,iTPSat3 Оборудование провайдера ШПД iU6,iTPSat4 Сайт провайдера ШПД iU7,iTPSat5 Личный кабинет провайдера ШПД iU8,iTPSat6 Служба технической поддержки провайдера ШПД iU9,iTPSat7 Система выставления счетов  провайдера ШПД iU10,iTPSat8 Личный менеджер провайдера ШПД iU11,iTPSat9 Справочная служба провайдера ШПД iU12,iTPSat10 Офисы обслуживания  провайдера ШПД iU13,iTPSat11 Работа с претензиями провайдера ШПД iU14,iTPSat12 Тарифы  провайдера ШПД iU15,iTPSat13 Скорость Интернета  провайдера ШПД iU16,iTPSat14 Стабильность Интернета  провайдера ШПД iU17,iTPSat15 Реклама  провайдера ШПД iU18,iA1Sat1 Удовлетворённость Количеством доп. услуг и опций провайдера ШПД iU4,iA1Sat2 Удовлетворённость Понятностью предлагаемых услуг провайдера ШПД iU4,iA1Sat3 Удовлетворённость Стоимостью доп. услуг и опций провайдера ШПД iU4,iA1Sat4 Удовлетворённость Скидками на доп.услуги и опции провайдера ШПД iU4,iA1Sat5 Удовлетворённость Наличием пакетных предложений на доп.услуги и опции провайдера ШПД iU4,iA2Sat1 Удовлетворённость Удобством подключения провайдера ШПД iU4,iA2Sat2 Удовлетворённость Скоростью подключения провайдера ШПД iU4,iA2Sat3 Удовлетворённость Качеством подключения и настройки оборудования провайдера ШПД iU4,iA6Sat1 Удовлетворённость Простотой подачи обращения провайдера ШПД iU4,iA6Sat2 Удовлетворённость Удобством способов связи с техподдержкой провайдера ШПД iU4,iA6Sat3 Удовлетворённость Компетентностью специалистов провайдера ШПД iU4,iA6Sat4 Удовлетворённость Сроками решения вопросов провайдера ШПД iU4,iA6Sat5 Удовлетворённость Результатами работы по устранению неисправностей провайдера ШПД iU4,iA6Sat6 Удовлетворённость Информированием о статусе решения вопроса провайдера ШПД iU4,iA7Sat1 Удовлетворённость Понятностью счетов провайдера ШПД iU4,iA7Sat2 Удовлетворённость Своевременностью получения счетов провайдера ШПД iU4,iA7Sat4 Удовлетворённость Удобством получения счетов провайдера ШПД iU4,iA7Sat5 Удовлетворённость Возможностью получить отсрочку провайдера ШПД iU4,iA7Sat6 Удовлетворённость Корректностью  начислений в счетах провайдера ШПД iU4,iA10Sat1 Удовлетворённость Ррасположенияем и временем работы офиса провайдера ШПД iU4,iA10Sat2 Удовлетворённость Результативностью обращения в офис провайдера ШПД iU4,iA10Sat3 Удовлетворённость Скоростью решения вопроса или проблемы провайдера ШПД iU4,iA10Sat4 Удовлетворённость Компетентностью сотрудников офиса провайдера ШПД iU4,iA11Sat1 Удовлетворённость Простотой подачи претензий провайдера ШПД iU4,iA11Sat2 Удовлетворённость Сроками решения претензий провайдера ШПД iU4,iA11Sat3 Удовлетворённость Результатами работы по претензиям провайдера ШПД iU4,iA11Sat4 Удовлетворённость Удобством обращения к руководству провайдера при нерешённости претензии провайдера ШПД iU4,iA11Sat5 Удовлетворённость Решением вопроса с первого обращения без повторных обращений провайдера ШПД iU4,iA12Sat1 Удовлетворённость Соотношением цены и скорости провайдера ШПД iU4,iA12Sat2 Удовлетворённость Наличием выгодных для Вас тарифов провайдера ШПД iU4,iA12Sat3 Удовлетворённость Прозрачностью тарифов провайдера ШПД iU4,iA12Sat4 Удовлетворённость Наличием нескольких услуг на одном тарифе провайдера ШПД iU4,iA12Sat5 Удовлетворённость Наличием нужных услуг и сервисов в тарифах провайдера ШПД iU4,EQPT_Роутер или другое устройство для подключения к Интернет Вам предоставил провайдер?,CNCT_Установка и настройка роутера производилась специалистами провайдера?,REBT_Как часто в вашей компании приходится перезагружать роутер? ,ILT Срок жизни ШПД,IUsg1 Ваша компания обращалась к личному менеджеру для получения консультаций и справок по поводу тарифов и работы Интернета? ,"IUsg3 А для решения каких-либо проблем в работе Интернета, таких как низкая скорость, отсутствие Интернета? ",IUsg4 А по вопросам подключения дополнительных услуг? ,IUsg5 Ваша компания звонила в колл-центр для получения консультаций и справок по поводу тарифов и работы Интернета?,IUsg7 А по вопросам подключения дополнительных услуг?,IUsg8 Ваша компания звонила в колл-центр для решения технических проблем?,IUsg9 К Вам в офис приходили специалисты для устранения технических неполадок?,iARPU Сумма в месяц на ШПД,CompNum Кол-во сотрудников,CompAreac Сфера деятельности,RespTitle Должность респондента,"DM Лицо, принимавшиее решение о подключении ШПД",Age_Возраст респондента,Age_int Возраст респондента интервал,Gender Пол респондента,Оld_sample_Основная выборка,wt_Веса для расширенной выборки,wt_old_sample_Веса для основной выборки
10,20200012174,CATI,,,74723446522,"САО ""ВСК""",7710026574,01.12.2020,Центр,01101 Белгородский филиал,Медь,B2B,3К,10,"постоянно интернет,крупнейшая организация по  всей России, это все таки российская компания ,и любая форма предоставления интернета-будь то вай-фай или проводной интернет,   скорость  и гибкие тарифы.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,"0,43","0,6"
11,20200012540,CATI,,,74723154055,НОТАРИУС ОРЕХОВА Ю. В.,311000814454,01.12.2020,Центр,01101 Белгородский филиал,Оптика,B2B,МСП,10,пока всё хорошо работаем .поэтому буду рекомендовать,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,"0,6","1,32"
12,20200014926,CATI,,,79588607080,"ООО ""ЛОГИСТИК-ПРОФИ""",3123209826,24.11.2020,Центр,01101 Белгородский филиал,Оптика,B2B,3К,10,за стабильность,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,"0,6","1,32"
13,20200015009,CATI,,,74723347353,"БРЯНСКИЙ ФИЛИАЛ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БУКМЕКЕР ПАБ""",7743754297,02.12.2020,Центр,01101 Белгородский филиал,Mix,B2B,3К,10,за без перебойное использование и скорость,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,"0,47","0,94"
14,20200015133,CATI,,,74723345574,"ГСУСОССЗН ""НОВООСКОЛЬСКИЙ ДОМ-ИНТЕРНАТ ДЛЯ ПРЕСТАРЕЛЫХ И ИНВАЛИДОВ""",3114003385,26.11.2020,Центр,01101 Белгородский филиал,Медь,B2G,МСП,10,за скорость интернета .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,"0,43","0,6"
15,20200015165,CATI,,,74724536083,"МУП ""РЫНОК РАКИТА""",3116005363,02.12.2020,Центр,01101 Белгородский филиал,Медь,B2G,МСП,10,за качество услуг связи,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,"0,43","0,6"
16,20200015177,CATI,,,74723855657,"МБУ ДО  ""РОВЕНЬСКАЯ ДШИ""",3117003979,02.12.2020,Центр,01101 Белгородский филиал,Оптика,B2G,МСП,10,"Никакого сбоя нет после подключения Вай Фай роутера, оперативная работа Тех.специалистов, которые подключали нам роутер, высокая скорость Интернета",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,"0,6","1,32"
17,20200020349,CATI,,,74922773001,"ООО ""ФЛСЭ-ЦЕНТР""",3328023533,30.11.2020,Центр,01104 Филиал во Владимирской области,Оптика,B2B,МСП,10,Быстрый ИТ и хорошая связь - проблем нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,"1,3","1,15"
18,20200026723,CATI,,,74735460434,ИП ЖАРОВА ЯНА ДЕНИСОВНА,772169239085,30.11.2020,Центр,01105 Воронежский филиал,Оптика,B2B,МСП,10,"За устойчивый ,стабильный интернет.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,"0,89","1,07"
19,20200036889,CATI,,,74713148977,ИП ВИНОГРАДОВ СТАНИСЛАВ СТАНИСЛАВОВИЧ,463401531451,06.10.2020,Центр,01107 Курский филиал,Оптика,B2B,SoHo,10,не знаю,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,1.0,"0,63","1,22"
20,20200053748,CATI,,,74753343397,ПОУ ООГО ДОСААФ РОССИИ,6826000453,09.09.2020,Центр,01113 Тамбовский филиал,Медь,B2B,SoHo,10,"качество,  цена,  только  один  проводной провайдер",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,"0,7","1,15"
21,20200054993,CATI,,,74755725866,"МБУК ""ЦЕНТРАЛЬНАЯ БИБЛИОТЕКА ТОКАРЕВСКОГО РАЙОНА""",6821000555,09.09.2020,Центр,01113 Тамбовский филиал,Mix,B2G,МСП,10,"за хорошую, стабильную работу,  перебоев в  работе нет,  только слова благодарности могу сказать, их организация недалеко от нас находится, в любое время  готовы помочь,  наша организация  очень  довольна  провайдером",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,"0,79","0,87"
22,20200065117,CATI,,,78183722066,КРАЕВЕДЧЕСКИЙ МУЗЕЙ,2904012300,12.11.2020,Северо-Запад,01201 Архангельский филиал,Оптика,B2G,МСП,10,у нас нет не перебоев  со связью  ничего,10.0,98.0,98.0,98.0,99.0,10.0,98.0,10.0,98.0,10.0,98.0,98.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,10.0,10.0,10.0,98.0,10.0,,,,,,,,,,10.0,10.0,10.0,10.0,99.0,,1.0,2.0,6.0,,,,2.0,2.0,1.0,1.0,3.0,2.0,98,6.0,3.0,33.0,3.0,2.0,1.0,"0,97","0,9"
23,20200073749,CATI,,,74015321419,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПАНСИОНАТ ""БЕЛОЕ СОЛНЦЕ"" ФТС РОССИИ""",7827000634,01.12.2020,Северо-Запад,01203 Калининградский филиал,Mix,B2G,3К,10,"за 10 лет ,что работает пансионат,у нас  не было с интернетом каких-либо сильных заморочек и проблем.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,"0,9","0,66"
24,20200086477,CATI,,,79219443896,"ООО ""Горянка""",7814028470,25.11.2020,Северо-Запад,01212 Петербургский филиал,Оптика,B2B,МСП,10,"нормальный  работает, не было ни каких сбоев ,все время на связи",10.0,98.0,98.0,10.0,98.0,10.0,10.0,10.0,5.0,98.0,98.0,98.0,10.0,10.0,10.0,5.0,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0,,,,,,,,,,10.0,10.0,10.0,98.0,10.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,,,,2.0,2.0,1.0,1,6.0,1.0,50.0,5.0,2.0,1.0,"1,54","0,93"
25,20200091968,CATI,,,78114722458,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ПЫТАЛОВСКАЯ ДЕТСКО-ЮНОШЕСКАЯ СПОРТИВНАЯ ШКОЛА""",6021006413,06.11.2020,Северо-Запад,01215 Филиал в Псковской области,Медь,B2G,МСП,10,"Бесперебойно работает, нет никаких претензий, всё вовремя. Присылают мастера, если какие то неполадки возникают, откликаются почти моментально, проблем никогда не было, чтобы задержки были или ещё что-то.",10.0,98.0,10.0,10.0,98.0,98.0,10.0,10.0,98.0,10.0,98.0,98.0,10.0,10.0,10.0,98.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0,,,,,,,,,,10.0,10.0,10.0,10.0,10.0,1.0,1.0,2.0,6.0,,,,2.0,1.0,2.0,1.0,3.0,2.0,12,6.0,3.0,59.0,6.0,2.0,1.0,"0,71","0,51"
26,20200098429,CATI,,,79224580145,"Общество с ограниченной ответственностью ""Пуровская компания общественного питания и торговли-Пурнефтегазгеология""",8911018864,02.12.2020,Урал,01508 Ямало-Ненецкий филиал,Mix,B2B,3К,10,"потому что у нас других нет с кем сравнивать, только если сравнивать с сотовыми операторами с их модемами",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,"0,48","1,31"
27,20200099996,CATI,,,73493638300,"МБУ ДО ""Пурпейская детская школа искусств""",8911019508,02.12.2020,Урал,01508 Ямало-Ненецкий филиал,Mix,B2G,МСП,10,работает нормально все хорошо грузит,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,"0,48","1,31"
28,20200105302,CATI,,,79222888896,Индивидумальный предприниматель Шамрай Анатолий Александрович,890603267275,02.12.2020,Урал,01508 Ямало-Ненецкий филиал,Оптика,B2B,МСП,10,"устраивает, работает и ладно",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"0,54","0,85"
29,20200105334,CATI,,,73499727941,"МБУК ""ХИКМ""",8911025276,02.12.2020,Урал,01508 Ямало-Ненецкий филиал,Оптика,B2G,МСП,10,"Высокая скорость передачи данных, качество связи, низкие цены",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,"0,54","0,85"
30,20200106163,CATI,,,79292544000,"ООО ""Фрахт""",8904000658,02.12.2020,Урал,01508 Ямало-Ненецкий филиал,Оптика,B2B,МСП,10,за скорость,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,"0,54","0,85"
31,20200110531,CATI,,,79634982494,Муниципальное бюджетное общеобразовательное учреждение Многопрофильный лицей,8906007360,02.12.2020,Урал,01508 Ямало-Ненецкий филиал,Оптика,B2G,МСП,10,широкое распространение  моего провайдера,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,"0,54","0,85"
32,20200112100,CATI,,,79028260306,"ООО ""Ямалпожбезопасность""",8913010564,02.12.2020,Урал,01508 Ямало-Ненецкий филиал,Оптика,B2B,МСП,10,чтоб работали именно с ростелеком .оперативность сотрудников нравиться,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,"0,54","0,85"
